CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"31,787","6,974","2,20,447",13.08,1.35,-0.95,"4,300",1.35,1.55,25,"25,250.00",50,670.60,698.80,50,-20.20,658.85,14.07,65,10,16,
,"90,843","16,195","3,87,836",13.86,1.30,-0.60,"47,625",1.20,1.30,"17,325","25,300.00",200,729.75,737.30,50,-9.70,735.50,25.10,126,-3,292,
,"22,723","11,938","1,34,491",14.37,1.10,-0.55,"15,150",1.10,1.15,"7,200","25,350.00",50,759.55,789.65,50,49.25,772.25,22.62,131,37,37,
,"51,889","27,145","2,68,211",15.19,1.10,-0.40,"1,27,400",1.00,1.10,"41,350","25,400.00",50,829.50,838.05,200,-11.85,821.25,23.40,63,20,83,
,"7,100",-692,"67,259",15.80,1.00,-0.40,"8,725",1.00,1.25,"5,000","25,450.00",100,855.05,886.55,75,-396.20,880.00,27.32,66,3,80,
,"2,03,107","15,158","5,25,474",16.59,1.00,-0.40,"2,24,350",1.00,1.05,"51,250","25,500.00",50,930.25,937.10,375,-3.20,927.65,27.79,538,8,812,
,"10,236","3,918","34,540",17.38,1.00,-0.35,"16,700",0.95,1.00,750,"25,550.00",50,978.00,"1,023.20",100,-30.30,952.60,-,18,4,9,
,"46,710","20,447","2,16,958",18.05,0.95,-0.30,"26,200",0.85,0.90,25,"25,600.00",50,"1,021.60","1,037.40",25,6.70,"1,030.00",30.82,35,10,23,
,"5,758","3,181","46,925",18.93,1.00,-0.20,"1,100",0.85,1.00,"1,000","25,650.00",50,"1,078.60","1,090.70",50,-168.65,"1,067.45",27.22,12,5,6,
,"35,558","8,155","1,18,109",19.20,0.80,-0.30,"19,950",0.80,0.90,"5,200","25,700.00",50,"1,125.60","1,138.75",50,-68.15,"1,100.30",-,3,1,10,
,"5,396",440,"20,334",19.95,0.80,-0.35,900,0.80,1.00,100,"25,750.00",250,"1,128.95","1,224.05",250,-,"1,800.00",-,-,-,-,
,"21,784","10,951","1,43,658",20.40,0.70,-0.30,"18,450",0.70,0.90,"1,100","25,800.00",50,"1,218.10","1,247.05",175,-64.25,"1,247.95",40.55,5,1,40,
,"7,316","4,939","31,972",21.58,0.85,-0.20,900,0.85,1.00,825,"25,850.00",250,"1,233.90","1,324.50",250,-,"1,694.40",-,-,-,-,
,"12,112","1,366","26,866",21.86,0.70,-0.30,"12,025",0.70,0.75,"1,625","25,900.00",250,"1,283.75","1,378.65",250,-,"1,691.05",-,-,-,7,
,"2,870","1,419","18,518",22.40,0.65,-0.35,"29,475",0.65,0.70,300,"25,950.00",250,"1,328.65","1,426.25",250,-,"1,592.35",-,-,-,-,
,"1,00,458","3,430","1,68,655",23.30,0.70,-0.20,"48,100",0.65,0.70,"22,525","26,000.00",575,"1,426.40","1,473.85",275,-419.90,"1,400.90",-,74,46,825,
,"5,168","1,960","18,880",23.42,0.55,-0.30,"22,675",0.55,0.95,"10,000","26,050.00",250,"1,424.95","1,527.65",250,-,-,-,-,-,-,
,"32,579","21,998","1,51,570",24.12,0.55,-0.25,"30,625",0.55,0.60,"1,27,425","26,100.00",250,"1,481.40","1,583.05","1,000",-,-,-,-,-,-,
,"2,782",928,"10,398",25.04,0.60,-0.20,"17,250",0.50,0.60,"2,925","26,150.00",250,"1,522.30","1,634.40","1,000",-,-,-,-,-,-,
,"31,091","24,498","1,38,899",25.27,0.50,-0.20,"8,875",0.50,0.55,"71,625","26,200.00",250,"1,581.15","1,684.25","1,000",-,-,-,-,-,-,
,846,-45,"2,618",27.04,0.75,-0.05,"1,800",0.55,0.60,25,"26,250.00",250,"1,623.45","1,740.90","1,000",-,-,-,-,-,-,
,"19,445","-3,645","99,669",26.63,0.50,-0.10,850,0.50,0.55,"1,12,900","26,300.00",250,"1,680.80","1,785.75","1,000",-,"1,970.00",-,-,-,2,
,"1,474",-19,"2,936",27.04,0.45,-0.25,"37,150",0.45,0.55,400,"26,350.00","1,775","1,656.85","1,839.65","1,000",-,-,-,-,-,-,
,"7,174",103,"34,636",27.98,0.50,-0.15,"93,725",0.45,0.50,900,"26,400.00",250,"1,774.20","1,885.90","1,000",-,-,-,-,-,-,
,"3,448",499,"6,631",28.37,0.45,-0.20,"43,850",0.45,0.50,225,"26,450.00",250,"1,830.40","1,928.75","1,000",-,-,-,-,-,-,
,"46,403","-1,133","77,654",29.60,0.55,-0.15,"96,075",0.55,0.65,875,"26,500.00",425,"1,874.25","1,977.05",425,52.00,"1,965.00",61.49,1,-,3,
,"55,655","-77,987","4,83,319",29.99,0.50,-,"1,90,175",0.45,0.50,"2,68,825","26,550.00","1,775","1,867.95","2,029.00","1,000",-,-,-,-,-,-,
,"15,336",-674,"1,14,054",30.65,0.50,-0.05,"41,625",0.50,0.55,"5,150","26,600.00","1,775","1,915.20","2,079.80","1,000",-,"2,399.00",-,-,-,2,
,"22,748","16,767","95,420",31.87,0.60,0.05,"5,000",0.60,0.65,"4,700","26,650.00","1,775","1,877.50","2,174.05","1,000",-,-,-,-,-,-,
,"46,569","-15,563","2,49,917",32.26,0.55,-,"46,000",0.50,0.60,"2,500","26,700.00","1,775","1,923.60","2,226.00","1,000",-,"2,170.00",-,-,-,3,
,"72,480","7,845","2,94,378",33.20,0.60,0.10,"15,875",0.55,0.60,"2,200","26,750.00","1,775","1,989.40","2,281.50","1,000",-,"2,404.00",-,-,-,1,
